time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2005-07-23 00:00:00-04:00,26.7,23.4,82.0,0.0,,310.0,5.4,,1018.2,,
2005-07-23 01:00:00-04:00,26.7,23.4,82.0,0.0,,240.0,7.6,,1018.2,,
2005-07-23 02:00:00-04:00,26.1,24.0,88.0,0.0,,270.0,7.6,,1018.1,,
2005-07-23 03:00:00-04:00,25.6,23.3,87.0,0.0,,290.0,5.4,,1017.7,,
2005-07-23 04:00:00-04:00,25.6,23.3,87.0,0.0,,280.0,7.6,,1017.4,,
2005-07-23 05:00:00-04:00,25.6,23.3,87.0,0.0,,290.0,5.4,,1017.7,,
2005-07-23 06:00:00-04:00,25.0,22.9,88.0,0.0,,300.0,5.4,,1017.7,,
2005-07-23 07:00:00-04:00,25.0,22.9,88.0,0.0,,240.0,7.6,,1018.1,,
2005-07-23 08:00:00-04:00,25.0,23.2,90.0,0.0,,0.0,0.0,,1018.6,,
2005-07-23 09:00:00-04:00,27.8,23.8,79.0,0.0,,310.0,9.4,,1019.2,,
2005-07-23 10:00:00-04:00,30.0,24.4,72.0,0.0,,330.0,9.4,,1019.3,,
2005-07-23 11:00:00-04:00,31.7,24.3,65.0,0.0,,340.0,13.0,,1019.5,,
2005-07-23 12:00:00-04:00,32.8,24.3,61.0,0.0,,340.0,9.4,,1019.5,,
2005-07-23 13:00:00-04:00,33.3,23.3,56.0,0.0,,,5.4,,1019.4,,
2005-07-23 14:00:00-04:00,32.8,23.4,58.0,0.0,,0.0,0.0,,1018.8,,
2005-07-23 15:00:00-04:00,33.3,23.3,56.0,0.0,,290.0,9.4,,1017.6,,
2005-07-23 16:00:00-04:00,34.4,23.1,52.0,0.0,,330.0,11.2,,1017.1,,
2005-07-23 17:00:00-04:00,33.9,23.9,56.0,0.0,,230.0,13.0,,1016.4,,
2005-07-23 18:00:00-04:00,32.8,24.3,61.0,0.0,,230.0,14.8,,1016.0,,
2005-07-23 19:00:00-04:00,31.7,24.3,65.0,0.0,,260.0,7.6,,1016.0,,
2005-07-23 20:00:00-04:00,31.1,25.0,70.0,0.0,,230.0,9.4,,1016.1,,
2005-07-23 21:00:00-04:00,29.4,23.8,72.0,0.0,,250.0,9.4,,1016.3,,
2005-07-23 22:00:00-04:00,26.7,23.4,82.0,1.5,,260.0,14.8,,1017.3,,
2005-07-23 23:00:00-04:00,25.6,22.7,84.0,0.0,,280.0,7.6,,1017.7,,
2005-07-24 00:00:00-04:00,25.0,23.2,90.0,0.0,,310.0,5.4,,1018.1,,
2005-07-24 01:00:00-04:00,25.6,22.7,84.0,0.0,,270.0,7.6,,1017.8,,
2005-07-24 02:00:00-04:00,25.0,22.9,88.0,0.0,,280.0,7.6,,1017.5,,
2005-07-24 03:00:00-04:00,24.4,22.8,91.0,0.0,,290.0,5.4,,1017.4,,
2005-07-24 04:00:00-04:00,25.0,22.9,88.0,0.0,,270.0,9.4,,1017.1,,
2005-07-24 05:00:00-04:00,25.0,22.9,88.0,0.0,,280.0,5.4,,1017.0,,
2005-07-24 06:00:00-04:00,25.0,22.1,84.0,0.0,,270.0,7.6,,1016.8,,
2005-07-24 07:00:00-04:00,25.6,22.7,84.0,0.0,,340.0,9.4,,1017.7,,
2005-07-24 08:00:00-04:00,26.1,23.4,85.0,0.0,,320.0,14.8,,1017.6,,
2005-07-24 09:00:00-04:00,27.8,21.1,67.0,0.0,,0.0,0.0,,1017.6,,
2005-07-24 10:00:00-04:00,28.9,23.8,74.0,0.0,,340.0,9.4,,1017.9,,
2005-07-24 11:00:00-04:00,31.1,24.5,68.0,0.0,,40.0,11.2,,1018.0,,
2005-07-24 12:00:00-04:00,32.2,25.0,66.0,0.0,,30.0,9.4,,1018.3,,
2005-07-24 13:00:00-04:00,32.8,24.3,61.0,0.0,,10.0,13.0,,1018.2,,
2005-07-24 14:00:00-04:00,34.4,22.1,49.0,0.0,,20.0,14.8,,1017.8,,
2005-07-24 15:00:00-04:00,35.0,22.3,48.0,0.0,,,7.6,,1017.3,,
2005-07-24 16:00:00-04:00,35.0,22.3,48.0,0.0,,40.0,13.0,,1016.8,,
2005-07-24 17:00:00-04:00,35.0,22.7,49.0,0.0,,80.0,13.0,,1015.9,,
2005-07-24 18:00:00-04:00,33.9,23.3,54.0,0.0,,190.0,14.8,,1015.6,,
2005-07-24 19:00:00-04:00,31.1,25.7,73.0,0.0,,290.0,7.6,,1015.6,,
2005-07-24 20:00:00-04:00,30.6,26.1,77.0,,,210.0,13.0,,1015.5,,
2005-07-24 21:00:00-04:00,30.0,25.5,77.0,0.0,,220.0,9.4,,1016.0,,
2005-07-24 22:00:00-04:00,28.9,25.1,80.0,0.0,,220.0,9.4,,1016.6,,
2005-07-24 23:00:00-04:00,27.8,23.8,79.0,0.0,,260.0,5.4,,1017.2,,
2005-07-25 00:00:00-04:00,27.2,24.5,85.0,0.0,,0.0,0.0,,1017.1,,
2005-07-25 01:00:00-04:00,26.7,24.3,87.0,0.0,,0.0,0.0,,1017.0,,
