"airport_code","month","day","hour","temp_c","precipitation_mm","humidity_perc","pressure_hpa"
MIA,7.0,1.0,0.0,26.1,,90.0,1015.6
MIA,7.0,1.0,1.0,26.7,0.0,87.0,1015.9
MIA,7.0,1.0,2.0,25.6,2.0,93.0,1016.5
MIA,7.0,1.0,3.0,25.6,0.3,90.0,1016.6
MIA,7.0,1.0,4.0,25.6,,93.0,1016.6
MIA,7.0,1.0,5.0,25.6,0.0,93.0,1016.3
MIA,7.0,1.0,6.0,25.6,0.0,96.0,1015.4
MIA,7.0,1.0,7.0,26.1,0.0,94.0,1014.4
MIA,7.0,1.0,8.0,25.6,0.0,96.0,1014.1
MIA,7.0,1.0,9.0,26.1,0.0,90.0,1014.0
MIA,7.0,1.0,10.0,25.6,0.0,93.0,1014.2
MIA,7.0,1.0,11.0,25.6,0.0,93.0,1014.4
MIA,7.0,1.0,12.0,27.2,0.0,88.0,1014.9
MIA,7.0,1.0,13.0,28.3,0.0,82.0,1015.6
MIA,7.0,1.0,14.0,27.8,0.0,74.0,1015.7
MIA,7.0,1.0,15.0,28.9,0.0,72.0,1015.8
MIA,7.0,1.0,16.0,29.4,0.0,74.0,1015.4
MIA,7.0,1.0,17.0,30.6,0.0,72.0,1015.3
MIA,7.0,1.0,18.0,31.7,0.0,61.0,1014.4
MIA,7.0,1.0,19.0,31.7,0.0,59.0,1014.1
MIA,7.0,1.0,20.0,32.2,0.0,58.0,1013.5
MIA,7.0,1.0,21.0,32.2,0.0,58.0,1013.0
MIA,7.0,1.0,22.0,30.0,0.0,72.0,1013.4
MIA,7.0,1.0,23.0,27.8,5.6,82.0,1013.8
MIA,7.0,2.0,0.0,27.8,1.0,79.0,1014.1
MIA,7.0,2.0,1.0,27.8,0.0,82.0,1014.5
MIA,7.0,2.0,2.0,27.2,0.0,85.0,1014.6
MIA,7.0,2.0,3.0,27.2,0.0,85.0,1014.8
MIA,7.0,2.0,4.0,27.2,0.0,82.0,1014.6
MIA,7.0,2.0,5.0,27.2,0.0,82.0,1014.4
MIA,7.0,2.0,6.0,26.7,0.0,85.0,1013.7
MIA,7.0,2.0,7.0,26.7,0.0,85.0,1013.6
MIA,7.0,2.0,8.0,26.1,0.0,90.0,1013.2
MIA,7.0,2.0,9.0,25.6,0.0,93.0,1013.2
MIA,7.0,2.0,10.0,25.6,0.0,96.0,1013.6
MIA,7.0,2.0,11.0,25.6,0.0,96.0,1013.9
MIA,7.0,2.0,12.0,27.2,0.0,91.0,1014.6
MIA,7.0,2.0,13.0,28.9,0.0,80.0,1015.0
MIA,7.0,2.0,14.0,30.0,0.0,72.0,1015.1
MIA,7.0,2.0,15.0,31.1,0.0,66.0,1015.3
MIA,7.0,2.0,16.0,31.7,0.0,61.0,1015.3
MIA,7.0,2.0,17.0,32.2,0.0,62.0,1015.4
MIA,7.0,2.0,18.0,30.0,,75.0,1014.9
MIA,7.0,2.0,19.0,30.0,,75.0,1014.1
MIA,7.0,2.0,20.0,32.8,0.0,56.0,1013.8
MIA,7.0,2.0,21.0,33.3,0.0,58.0,1013.5
MIA,7.0,2.0,22.0,30.0,0.0,72.0,1013.3
MIA,7.0,2.0,23.0,28.3,1.5,74.0,1014.0
MIA,7.0,3.0,0.0,29.4,,80.0,1014.1
MIA,7.0,3.0,1.0,28.9,0.0,82.0,1014.5
MIA,7.0,3.0,2.0,29.4,0.0,72.0,1015.3
MIA,7.0,3.0,3.0,28.3,0.0,74.0,1015.9
MIA,7.0,3.0,4.0,28.3,0.0,74.0,1016.0
MIA,7.0,3.0,5.0,27.8,0.0,77.0,1016.0
MIA,7.0,3.0,6.0,27.8,0.0,77.0,1015.9
MIA,7.0,3.0,7.0,27.2,0.0,85.0,1015.5
MIA,7.0,3.0,8.0,27.2,0.0,85.0,1015.0
MIA,7.0,3.0,9.0,26.7,0.0,87.0,1014.5
MIA,7.0,3.0,10.0,26.7,0.0,87.0,1014.8
MIA,7.0,3.0,11.0,26.1,0.0,90.0,1015.5
MIA,7.0,3.0,12.0,27.2,0.0,88.0,1016.4
MIA,7.0,3.0,13.0,28.9,0.0,80.0,1016.8
MIA,7.0,3.0,14.0,30.6,0.0,65.0,1017.1
MIA,7.0,3.0,15.0,30.0,0.0,70.0,1017.4
MIA,7.0,3.0,16.0,32.2,0.0,64.0,1017.7
MIA,7.0,3.0,17.0,32.2,0.0,64.0,1017.6
MIA,7.0,3.0,18.0,32.8,0.0,61.0,1017.5
MIA,7.0,3.0,19.0,31.7,0.0,65.0,1017.3
MIA,7.0,3.0,20.0,31.7,0.0,65.0,1017.0
MIA,7.0,3.0,21.0,32.2,0.0,62.0,1017.1
MIA,7.0,3.0,22.0,31.1,0.0,63.0,1017.2
MIA,7.0,3.0,23.0,30.6,0.0,65.0,1017.8
MIA,7.0,4.0,0.0,29.4,0.0,70.0,1018.1
MIA,7.0,4.0,1.0,28.9,0.0,74.0,1018.3
MIA,7.0,4.0,2.0,28.3,0.0,77.0,1018.6
MIA,7.0,4.0,3.0,28.3,0.0,79.0,1018.5
MIA,7.0,4.0,4.0,27.8,0.0,82.0,1018.7
MIA,7.0,4.0,5.0,27.2,0.0,85.0,1018.5
MIA,7.0,4.0,6.0,27.2,0.0,85.0,1018.5
MIA,7.0,4.0,7.0,27.8,0.0,85.0,1018.4
MIA,7.0,4.0,8.0,27.2,0.0,88.0,1018.1
MIA,7.0,4.0,9.0,27.8,0.0,85.0,1018.3
MIA,7.0,4.0,10.0,27.8,0.0,85.0,1018.8
MIA,7.0,4.0,11.0,27.8,0.0,85.0,1019.3
MIA,7.0,4.0,12.0,27.2,0.0,79.0,1020.2
MIA,7.0,4.0,13.0,28.3,,79.0,1020.8
MIA,7.0,4.0,14.0,29.4,0.0,80.0,1021.1
MIA,7.0,4.0,15.0,31.7,0.0,61.0,1021.2
MIA,7.0,4.0,16.0,31.7,0.0,65.0,1021.0
MIA,7.0,4.0,17.0,32.2,0.0,62.0,1020.9
MIA,7.0,4.0,18.0,32.2,0.0,64.0,1020.6
MIA,7.0,4.0,19.0,32.2,0.0,62.0,1020.2
MIA,7.0,4.0,20.0,32.2,0.0,62.0,1020.1
MIA,7.0,4.0,21.0,31.7,0.0,63.0,1019.8
MIA,7.0,4.0,22.0,31.1,0.0,63.0,1019.5
MIA,7.0,4.0,23.0,30.6,0.0,63.0,1019.7
MIA,7.0,5.0,0.0,29.4,0.0,68.0,1020.0
MIA,7.0,5.0,1.0,28.9,0.0,74.0,1020.5
MIA,7.0,5.0,2.0,28.9,0.0,72.0,1020.6
MIA,7.0,5.0,3.0,28.9,0.0,72.0,1020.8
MIA,7.0,5.0,4.0,28.3,0.0,77.0,1021.1
MIA,7.0,5.0,5.0,27.8,0.0,79.0,1020.3
MIA,7.0,5.0,6.0,27.8,0.0,82.0,1019.9
MIA,7.0,5.0,7.0,27.8,0.0,82.0,1019.6
MIA,7.0,5.0,8.0,27.8,0.0,82.0,1019.1
MIA,7.0,5.0,9.0,27.8,0.0,79.0,1018.8
MIA,7.0,5.0,10.0,27.2,0.0,82.0,1018.6
MIA,7.0,5.0,11.0,27.2,0.0,79.0,1018.9
MIA,7.0,5.0,12.0,28.3,0.0,77.0,1019.2
MIA,7.0,5.0,13.0,28.9,0.0,77.0,1019.2
MIA,7.0,5.0,14.0,29.4,0.0,70.0,1019.7
MIA,7.0,5.0,15.0,31.7,0.0,59.0,1019.8
MIA,7.0,5.0,16.0,31.7,0.0,61.0,1019.8
MIA,7.0,5.0,17.0,31.7,0.0,61.0,1019.9
MIA,7.0,5.0,18.0,32.2,0.0,59.0,1019.7
MIA,7.0,5.0,19.0,32.2,0.0,56.0,1019.1
MIA,7.0,5.0,20.0,31.7,0.0,59.0,1018.5
MIA,7.0,5.0,21.0,31.7,0.0,59.0,1018.2
MIA,7.0,5.0,22.0,30.6,0.0,65.0,1017.6
MIA,7.0,5.0,23.0,31.1,0.0,63.0,1017.6
MIA,7.0,6.0,0.0,29.4,0.0,72.0,1017.8
MIA,7.0,6.0,1.0,28.9,0.0,72.0,1018.0
MIA,7.0,6.0,2.0,28.3,0.0,77.0,1018.3
MIA,7.0,6.0,3.0,28.3,0.0,79.0,1019.0
MIA,7.0,6.0,4.0,27.8,0.0,79.0,1018.8
MIA,7.0,6.0,5.0,27.8,0.0,79.0,1017.9
MIA,7.0,6.0,6.0,27.8,0.0,77.0,1017.0
MIA,7.0,6.0,7.0,27.8,0.0,77.0,1016.4
MIA,7.0,6.0,8.0,27.2,0.0,82.0,1016.0
MIA,7.0,6.0,9.0,27.8,0.0,77.0,1015.9
MIA,7.0,6.0,10.0,27.2,0.0,79.0,1015.8
MIA,7.0,6.0,11.0,27.2,0.0,82.0,1016.0
MIA,7.0,6.0,12.0,28.3,0.0,77.0,1016.4
MIA,7.0,6.0,13.0,29.4,0.0,70.0,1016.6
MIA,7.0,6.0,14.0,30.0,0.0,67.0,1017.1
MIA,7.0,6.0,15.0,31.1,0.0,63.0,1017.1
MIA,7.0,6.0,16.0,31.7,0.0,57.0,1017.4
MIA,7.0,6.0,17.0,32.2,0.0,56.0,1017.4
MIA,7.0,6.0,18.0,32.2,0.0,58.0,1017.0
MIA,7.0,6.0,19.0,32.2,0.0,58.0,1016.4
MIA,7.0,6.0,20.0,32.2,0.0,56.0,1016.1
